objid,ra,dec,is_star,flux_r_nmgy,color_ug,color_gr,color_ri,color_iz,gal_frac_dev,gal_axis_ratio,gal_radius_px,gal_angle_deg,log_flux_r
8647474692482204910,0.519501066798317,0.577846194777953,false,1.5017062538262986,0.3903895738042809,0.6910879311878202,0.34568209220982193,0.0007757846796086799,0.3155331313610077,0.477876752614975,1.229104068544176,159.72854614257812,0.4066019641931948
8647474692482204992,0.578404485361308,0.515490065967687,false,1.204684019068929,,0.6951529112953237,0.3605844490966314,0.19726199983821613,0.38503023982048035,0.5905454754829407,1.4600675515454224,90.7240753173828,0.18621730771661058
8647474692482203829,0.550066534466065,0.548181415887026,true,16.10352396286902,0.8489475016198275,0.13013607248502024,-0.006962807579933597,0.12487202203602456,,,,,2.7790381277210603
8647474692482203833,0.556725321050841,0.425393523795548,false,32.25521537769112,0.823780889835457,0.33800216702131,0.1978361474085237,0.07644230950654991,0.0,0.9032161235809326,2.69004251017715,8.096020698547363,3.473679747304684
8647474692482138800,0.44780826760568,0.446153616760924,true,3.9308426248513766,,1.436585953629226,1.341810653758538,0.7337278364180347,,,,,1.3688538112581115
8647474692482204142,0.509356500813615,0.622642942580482,false,1.312891683345617,,1.6570503941992718,0.5787908621436639,-0.09264228803723842,0.5213539600372314,0.34096840023994446,3.370343735723784,152.4373016357422,0.27223209636982165
8647474692482205266,0.502745005030588,0.449670951336466,false,1.473585961349558,,1.4880943723583435,0.47670205745089256,0.5331004513507854,0.9522089958190918,0.7134741544723511,1.4631743683959495,15.17500114440918,0.38769885970205287
8647474692482204336,0.58851501203955,0.470318670950404,true,1.391370361443926,0.9565621005419646,1.2456187263720335,0.6558476273308759,0.3317282137489903,,,,,0.33028913303281165
8647474692482204623,0.558100918577519,0.562585534460802,false,3.931368450690252,0.03440180367032499,0.8277885074090302,0.2163311311974268,0.25898826452641255,0.285636842250824,0.5213614702224731,2.2142386496669113,84.3580322265625,1.3689875715539386
8647474692482205134,0.484520670870955,0.505016601058994,false,1.1726943420681064,-0.29752370182084953,0.7118652439789194,1.323519311405322,0.619137749619972,0.8583282828330994,0.33853933215141296,2.227898047427938,31.944644927978516,0.15930395776795284
8647474692482204186,0.515790151291211,0.581763991387443,true,1.1626403329846915,,1.809249526710448,0.8915832954607478,0.4120470165783997,,,,,0.1506935677396896
8647474692482205146,0.487728549881777,0.569526706297941,false,1.5356404502931835,0.937246685824204,1.389605343924118,0.2303511358670421,0.6779736045059157,0.8526272773742676,0.5775287747383118,1.3628880483935577,35.83595657348633,0.42894752548367493
8647474692482205383,0.520116590781777,0.475632857933136,false,1.39295618997799,1.164730899878077,0.5993902229074788,0.16264261025825216,0.4501740650606002,0.9128488898277284,0.5842126607894897,0.6083419377153569,62.95182800292969,0.3314282441796215
8647474692482204961,0.556584799811381,0.511406161571017,false,1.484232506495485,0.7268304736809666,0.3367765303642779,0.07649674205996783,-0.2863057723256726,0.0,0.34798961877822876,2.0816983899684867,85.98096466064453,0.3948978080088999
8647474692482205291,0.50506619199913,0.562394686073171,true,0.9073126761721698,,1.5734388087267115,0.6879146008883998,0.35751482362747317,,,,,-0.09726815159127854
8647474692482205480,0.535367153442734,0.583998312664318,false,1.225405408712227,1.4687885433123578,0.3850988928135515,0.21229905016319991,,0.2941530644893646,0.8852658271789551,1.7854506620252977,112.19109344482422,0.20327173513371163
8647474692482139112,0.464594573666462,0.587651260642439,false,1.057374310629544,,1.8611913763734311,0.8545537577177795,0.22145364621992183,0.5128570795059204,0.7996670007705688,1.163897264485407,135.760009765625,0.05578876967780858
8647474692482204077,0.486788610159126,0.486102838344778,true,7.361509186639681,3.190691249391193,1.276813395580161,0.6444793606280663,0.3540900421359429,,,,,1.996264964252953
8647474692482138799,0.446522897739645,0.519706354396837,true,5.303137584189081,2.0922390265669084,1.2627373094453074,0.7476537709114376,0.4102556282292996,,,,,1.6682986424137765
8647474692482203686,0.496363799926232,0.461600150490147,true,13.753347269786849,0.8767477262621561,0.32489081297140365,0.10625513449704033,0.05992309735768601,,,,,2.6212822322890865
8647474692482203831,0.551372677037074,0.595154960552682,false,17.30194004439358,0.920940168961862,0.28307424609233095,0.25726574015650566,0.07225070502963016,0.328012079000473,0.9384964108467102,1.3669369497684516,79.06381225585938,2.850818636510795
8647474692482204122,0.502673460383752,0.458372338007753,false,2.0937452218104684,0.6432698228049637,0.7913301956658587,0.22481063248658203,0.21866571116437264,0.15954743325710297,0.4084473550319672,1.490037248592184,24.32923889160156,0.7389544344682621
8647474692482206314,0.567800006049024,0.54962634751977,true,0.3134006960920032,,,1.699254727580406,0.9245102205066582,,,,,-1.1602727279650342
8647474692482140418,0.448062239772263,0.502392009398505,false,1.013147550903001,0.020527428969816255,1.0897364804100915,0.41687088073989703,0.18693369117701852,0.0,0.35184741020202637,2.3049492426592892,15.802647590637209,0.013061872016898827
8647474692482204253,0.566658299512292,0.609712558129527,true,29.089802907741312,2.528726335557963,1.09002562422368,0.42992959593893143,0.27806773310442173,,,,,3.3703876972260387
8647474692482205807,0.588811550123869,0.533049420119955,false,0.911060852789765,0.8133795735423474,1.0129979313722657,0.9414686424112853,0.16642365577825757,0.26317349076271057,0.6320844292640686,0.958303234191856,2.722923755645752,-0.09314558615967657
8647475121442064014,0.490518695435411,0.418315636642537,false,0.5802706384080504,-0.46587500422891626,0.4284587419085016,1.1299034598676152,1.0907236652146572,0.0,0.4379183351993561,1.0880848223512822,12.057549476623535,-0.5442606663290568
8647474692482139248,0.477000000844884,0.49229818010786,false,2.827933850330236,0.5572527506131744,0.9892484334796672,0.7980985849377814,0.2974438168092274,0.0,0.9060299396514891,2.562329022571294,45.02225112915039,1.039546356788418
8647474692482138826,0.476967586294288,0.555614741041793,false,3.6550170269550746,0.8893170693274257,1.0263250875442298,0.6322168111237838,0.38699371990960585,1.0,0.7672661542892456,0.6194530863954563,107.63289642333984,1.296100751728531
8647474692482203798,0.543164846881645,0.539053013837208,false,57.59621282277443,1.6064854230266097,0.779422270768781,0.3813671984287381,0.2820007288315832,1.0,0.9899559020996094,1.8804509832401468,104.2994613647461,4.053456815935635
8647474692482204651,0.586559987636151,0.448760980638304,false,5.489594241939714,,1.535335584498452,0.5400726366322054,0.3430820222413353,0.9083387851715088,0.9998111128807068,0.7749152454462918,54.65069961547851,1.702854344218065
8647474692482205374,0.519001920988051,0.554387808675439,false,0.992768660287838,0.46988200262877966,0.7621944315855731,0.8874890168872178,0.01390642809394289,0.0,0.5766773819923401,1.8731036571541215,121.63168334960938,-0.007257612584510274
8647474692482204948,0.548338123220612,0.543713552141865,false,1.388159415113687,0.6632587447318213,0.6064145398167116,0.5825555266037887,-0.2874947798496057,0.0,0.655089795589447,2.15854879581567,56.800655364990234,0.32797870787696476
8647474692482204166,0.519187314358628,0.485362533783386,false,2.5465477379721952,2.0247453783457545,0.9070777337360084,0.3756807713423688,0.4508391693938991,0.9024128913879396,0.38623377680778503,1.3939003751735497,97.75889587402344,0.9347386136707142
8647474692482204201,0.531528070211726,0.535587329041659,false,8.910643122478216,0.5369988944911815,0.6965086229252428,0.14208186486275043,0.2540363256277785,0.0,0.6293286085128784,4.455467667242493,93.76490020751952,2.1872464187295293
8647474692482204147,0.513074237609746,0.607950731967262,false,80.50268114807486,1.0194560082090984,0.41281532225805107,0.2414269550073676,0.12974854519176593,0.0494859404861927,0.8056073784828186,7.285099438946657,170.43771362304688,4.388290490057145
