name,percentile
color_gr,0.2752
color_gr,0.2656
color_gr,0.0
color_gr,0.7488
color_gr,0.3792
color_gr,0.784
color_gr,0.0896
color_gr,0.3616
color_gr,0.0064
color_gr,0.1936
color_gr,0.4784
color_gr,0.8576
color_gr,0.0176
color_gr,0.9712
color_gr,0.0
color_gr,0.3152
color_gr,0.0544
color_gr,0.7152
color_gr,0.3344
color_gr,0.6848
color_gr,0.0112
color_gr,0.3952
color_gr,0.0144
color_gr,1.0
color_gr,1.0
color_gr,0.6784
color_gr,0.8912
color_gr,0.4336
color_gr,0.7088
color_gr,0.9712
color_gr,0.6592
color_gr,0.0752
color_gr,0.6048
color_gr,0.776
color_gr,0.2512
color_gr,0.9616
color_gr,0.9952
color_gr,0.872
color_gr,0.7632
color_gr,0.5952
color_gr,0.8
color_gr,0.296
color_gr,0.6624
color_gr,0.9648
color_gr,0.448
color_gr,0.9872
color_gr,0.4384
color_gr,0.864
color_gr,0.1536
color_gr,0.184
color_gr,0.0752
color_gr,0.712
color_gr,0.5664
color_gr,0.7024
color_gr,0.2144
color_gr,0.0736
color_gr,0.24
color_gr,0.0416
color_gr,0.0864
color_gr,1.0
color_gr,0.8272
color_gr,0.088
color_gr,0.792
color_gr,0.6224
color_gr,1.0
color_gr,0.5696
color_gr,0.9456
color_gr,0.6128
color_gr,0.5568
color_gr,0.592
color_gr,0.8128
color_gr,0.9968
color_gr,0.7424
color_gr,0.6256
color_gr,0.008
color_gr,0.368
color_gr,0.88
color_gr,0.1152
color_gr,0.0768
color_gr,0.3968
color_gr,0.5392
color_gr,0.8176
color_gr,0.0032
color_gr,0.0
color_gr,0.3872
color_gr,0.8672
color_gr,0.6768
color_gr,0.872
color_gr,0.0672
color_gr,0.0
color_gr,0.9904
color_gr,0.5232
color_gr,0.9104
color_gr,0.6336
color_gr,0.4656
color_gr,0.816
color_gr,0.1504
color_gr,0.696
color_gr,0.8448
color_gr,0.232
color_gr,0.8
color_gr,0.8208
color_gr,0.608
color_gr,0.864
color_gr,0.2624
color_gr,0.1376
color_gr,0.0608
color_gr,0.9984
color_gr,0.6
color_gr,
color_gr,0.5664
color_gr,0.0
color_gr,0.68
color_gr,0.0528
color_gr,0.0624
color_gr,0.5824
color_gr,0.7984
color_gr,0.9616
color_gr,0.496
color_gr,0.3504
color_gr,0.9168
color_gr,0.9408
color_gr,0.8176
color_gr,0.9104
color_gr,0.9472
color_gr,0.0336
color_gr,0.8224
color_gr,0.2176
color_gr,0.352
color_gr,0.6512
color_gr,0.0016
color_gr,0.6768
color_gr,0.4192
color_gr,0.9984
color_gr,0.7856
color_gr,0.8656
color_gr,0.1264
color_gr,0.0208
color_gr,0.0048
color_gr,0.5888
color_gr,0.328
color_gr,0.3088
color_gr,0.3744
color_gr,0.4512
color_gr,0.8384
color_gr,0.7904
color_gr,0.8672
color_gr,0.0976
color_gr,0.8432
color_gr,0.3552
color_gr,0.7616
color_gr,0.9568
color_gr,0.0768
color_gr,0.2304
color_gr,0.272
color_gr,0.2912
color_gr,0.8816
color_gr,0.6144
color_gr,0.2912
color_gr,0.3488
color_gr,0.8272
color_gr,0.9824
color_gr,0.928
color_gr,0.5792
color_gr,0.8544
color_gr,0.0
color_gr,0.9376
color_gr,0.28
color_gr,0.1584
color_gr,
color_gr,0.5648
color_gr,0.024
color_gr,1.0
color_gr,0.168
color_gr,0.8448
color_gr,0.8656
color_gr,0.7792
color_gr,0.0496
color_gr,0.7664
color_gr,0.7728
color_gr,0.064
color_gr,0.0
color_gr,0.4
color_gr,0.0192
color_gr,0.048
color_gr,0.6736
color_gr,0.656
color_gr,0.032
color_gr,0.5616
color_gr,0.0016
color_gr,0.568
color_gr,0.4
color_gr,0.1792
color_gr,0.104
color_gr,0.576
color_gr,0.9296
color_gr,0.016
color_gr,0.992
color_gr,0.8016
color_gr,0.9984
color_gr,0.5472
color_gr,0.0144
color_gr,0.9872
color_gr,0.024
color_gr,0.9456
color_gr,0.6368
color_gr,0.648
color_gr,0.0624
color_gr,0.5152
color_gr,0.0352
color_gr,0.3328
color_gr,0.3856
color_gr,0.84
color_gr,0.6096
color_gr,0.9408
color_gr,0.5728
color_gr,0.632
color_gr,0.7408
color_gr,0.1712
color_gr,0.68
color_gr,0.3504
color_gr,0.9296
color_gr,0.2848
color_gr,0.9264
color_gr,0.9376
color_gr,0.3936
color_gr,0.0
color_gr,1.0
color_gr,0.96
color_gr,0.4384
color_gr,0.0
color_gr,0.5888
color_gr,0.7792
color_gr,0.3232
color_gr,0.1344
color_gr,0.1632
color_gr,0.8688
color_gr,0.1376
color_gr,0.0192
color_gr,0.0928
color_gr,0.6256
color_gr,0.5168
color_gr,0.8864
color_gr,0.8704
color_gr,0.056
color_gr,0.7168
color_gr,1.0
color_gr,0.7936
color_gr,0.0032
color_gr,0.3184
color_gr,0.7872
color_gr,0.992
color_gr,0.0192
color_gr,0.7248
color_gr,0.8384
color_gr,0.92
color_gr,0.3392
color_gr,0.3984
color_gr,0.6208
color_gr,0.1248
color_gr,0.4272
color_gr,0.3184
color_gr,0.3744
color_gr,0.8016
color_gr,0.928
color_gr,
color_gr,0.1632
color_gr,0.5872
color_gr,0.0
color_gr,0.6496
color_gr,0.1744
color_gr,0.9776
color_gr,0.7552
color_gr,0.4896
color_gr,0.3024
color_gr,0.9136
color_gr,0.9856
color_gr,0.616
color_gr,0.4016
color_gr,0.904
color_gr,0.8352
color_gr,0.7568
color_gr,0.28
color_gr,0.7088
color_gr,0.9872
color_gr,0.9856
color_gr,0.0016
color_gr,0.4896
color_gr,0.7776
color_gr,0.4016
color_gr,0.6608
color_gr,0.704
color_gr,0.5872
color_gr,
color_gr,0.192
color_gr,0.656
color_gr,0.9344
color_gr,0.224
color_gr,0.7184
color_gr,0.2368
color_gr,0.5024
color_gr,0.0112
color_gr,0.9392
color_gr,0.3664
color_gr,0.0896
color_gr,0.624
color_gr,0.9984
color_gr,0.2384
color_gr,0.7392
color_gr,0.856
color_gr,0.1216
color_gr,0.2192
color_gr,0.6496
color_gr,0.7408
color_gr,0.2192
color_gr,0.3504
color_ri,0.4528
color_ri,0.6448
color_ri,0.5472
color_ri,0.44
color_ri,0.328
color_ri,0.5616
color_ri,0.632
color_ri,0.0304
color_ri,0.3824
color_ri,0.9984
color_ri,0.128
color_ri,0.8064
color_ri,0.0176
color_ri,0.9264
color_ri,0.9072
color_ri,0.7344
color_ri,0.9776
color_ri,0.312
color_ri,0.904
color_ri,0.8464
color_ri,0.5808
color_ri,0.1056
color_ri,0.456
color_ri,0.2384
color_ri,0.904
color_ri,0.72
color_ri,0.7296
color_ri,0.1712
color_ri,0.152
color_ri,0.0704
color_ri,0.84
color_ri,0.9808
color_ri,0.0272
color_ri,0.3072
color_ri,0.3232
color_ri,0.2464
color_ri,0.9248
color_ri,0.552
color_ri,0.0544
color_ri,0.2208
color_ri,0.4032
color_ri,0.8176
color_ri,1.0
color_ri,0.5408
color_ri,0.8576
color_ri,1.0
color_ri,0.9472
color_ri,0.9904
color_ri,0.072
color_ri,0.7376
color_ri,0.0384
color_ri,0.5168
color_ri,0.8416
color_ri,0.8912
color_ri,0.2448
color_ri,0.0144
color_ri,0.1584
color_ri,0.9984
color_ri,0.232
color_ri,0.52
color_ri,0.1296
color_ri,0.1264
color_ri,0.664
color_ri,0.6352
color_ri,0.2768
color_ri,0.6032
color_ri,0.0272
color_ri,0.872
color_ri,0.68
color_ri,0.8256
color_ri,0.9744
color_ri,0.6256
color_ri,0.2128
color_ri,0.2768
color_ri,0.3088
color_ri,0.7344
color_ri,0.0032
color_ri,0.0272
color_ri,0.4704
color_ri,0.976
color_ri,0.2656
color_ri,0.264
color_ri,0.0832
color_ri,0.0
color_ri,1.0
color_ri,0.0304
color_ri,0.1872
